frame,distance_m
1,0.5909499794999999
2,0.5885766864096386
3,0.5957544508780487
4,0.6137168966331658
5,0.6076102608457711
6,0.653099799090909
7,0.6673752045355189
8,0.6710421012637362
9,0.6566110883333331
10,0.6566110883333331
11,0.6566110883333331
12,0.678498124611111
13,0.6822886169273743
14,0.6899980928248587
15,0.714208552222222
16,0.7401797723030302
17,0.7401797723030302
18,0.7401797723030302
19,0.7401797723030302
20,0.7357208580120481
21,0.7357208580120481
22,0.7269622763690475
23,0.7492617326993865
24,0.7446930635975609
25,0.7446930635975609
26,0.7446930635975609
27,0.7538868051234567
28,0.7492617326993865
29,0.7538868051234567
30,0.7585693318633538
31,0.7313153438922155
32,0.7269622763690475
33,0.7184097789999998
34,0.6939185365340907
35,0.6747495161878452
36,0.6861216990449437
37,0.678498124611111
38,0.6673752045355189
39,0.6710421012637362
40,0.6747495161878452
41,0.6673752045355189
42,0.678498124611111
43,0.7059518059537571
44,0.7269622763690475
45,0.7492617326993865
46,0.777895939044586
47,0.7828824514743589
48,0.777895939044586
49,0.7633103901874999
50,0.7633103901874999
51,0.7633103901874999
52,0.7313153438922155
53,0.7357208580120481
54,0.7538868051234567
55,0.7357208580120481
56,0.7357208580120481
57,0.7681110844654087
58,0.7681110844654087
59,0.7492617326993865
60,0.7681110844654087
61,0.7681110844654087
62,0.7492617326993865
63,0.7492617326993865
64,0.7538868051234567
65,0.7538868051234567
66,0.7538868051234567
67,0.7401797723030302
68,0.7357208580120481
69,0.7492617326993865
70,0.7313153438922155
71,0.7313153438922155
72,0.7633103901874999
73,0.7681110844654087
74,0.7681110844654087
75,0.7879333059999999
76,0.7879333059999999
77,0.7879333059999999
78,0.7828824514743589
79,0.7828824514743589
80,0.7828824514743589
81,0.7633103901874999
82,0.7633103901874999
83,0.7538868051234567
84,0.7357208580120481
85,0.7226607244378698
86,0.7226607244378698
87,0.7059518059537571
88,0.7018946116666666
89,0.7018946116666666
90,0.6978837853142856
91,0.7018946116666666
92,0.6899980928248587
93,0.7018946116666666
94,0.7184097789999998
95,0.7357208580120481
96,0.7446930635975609
97,0.7585693318633538
98,0.7633103901874999
99,0.7633103901874999
100,0.7633103901874999
