frame,distance_m
1,0.7401797723030302
2,0.42852513133333325
3,0.4004251227213114
4,0.678498124611111
5,0.2840224707674418
6,0.27444867961797753
7,0.31315298058974356
8,0.3757835767076923
9,0.29787722543902434
10,0.19858481695934954
11,0.20354943738333328
12,0.2304333253396226
13,0.2713992498444444
14,0.2394699263333333
15,0.24184091570297028
16,0.21808868291071426
17,0.226166041537037
18,0.1923301770551181
19,0.2654992661521739
20,0.21426256566666663
21,0.2840224707674418
22,0.2942883432048193
23,0.21615869456637168
24,0.42852513133333325
25,0.2840224707674418
26,0.2492442090408163
27,0.24672659076767672
28,0.2492442090408163
29,0.2942883432048193
30,0.2200534458198198
31,0.1893483138449612
32,0.21056838349999996
33,0.27444867961797753
34,0.22827974285981306
35,0.19858481695934954
36,0.20186721062809915
37,0.1923301770551181
38,0.1893483138449612
39,0.19698332649999997
40,0.1893483138449612
41,0.1923301770551181
42,0.290784910547619
43,0.2326279284380952
44,0.19858481695934954
45,0.2240911237247706
46,0.40709887476666656
47,0.3392490623055555
48,0.27444867961797753
49,0.19540745988799998
50,0.20699942784745762
51,0.2775674146136363
52,0.5088735934583333
53,0.4885186497199999
54,0.4697294708846153
55,0.4608666506792452
56,0.42852513133333325
57,0.29787722543902434
58,0.4441078633818181
59,0.3256790998133333
60,0.36456615650746266
61,0.29787722543902434
62,0.27444867961797753
63,0.24184091570297028
64,0.30532415607499996
65,0.40709887476666656
66,0.6427876969999999
67,0.2326279284380952
68,0.38165519509374995
69,0.3592048894999999
70,0.3256790998133333
71,0.4984884180816326
72,0.3172199024155844
73,0.24425932485999996
74,0.41399885569491524
75,0.25985034559574466
76,0.4697294708846153
77,0.2775674146136363
78,0.193856607031746
79,0.8422735339999998
80,0.24672659076767672
81,0.3256790998133333
82,0.21056838349999996
83,0.32139384849999997
84,0.25443679672916664
85,0.2840224707674418
86,0.3392490623055555
87,0.3300801687297297
88,0.29787722543902434
89,0.42852513133333325
90,0.39396665299999994
91,0.4361773658214285
92,0.5088735934583333
93,0.40709887476666656
94,0.39396665299999994
95,0.4211367669999999
96,0.39396665299999994
97,0.4441078633818181
98,0.4608666506792452
99,0.4004251227213114
100,0.39396665299999994
